Sample,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Density_SceA,Density_CoeM,Density_SelC,Density_MonM,Density_ChlS,Total_Density
81,Ambient,OG,High,3333.33,11944.44,1666.67,15000,1666.67,33611.11
82,Ambient,OG,High,1944.44,9722.22,11666.67,12500,1944.44,37777.78
83,Ambient,OG,High,2777.78,9166.67,2777.78,13888.89,555.56,29166.67
84,Ambient,OG,High,3333.33,7222.22,1944.44,13611.11,1111.11,27222.22
85,Ambient,OG,High,1666.67,5555.56,2500,10833.33,1388.89,21944.44
86,Elevated,OG,High,555.56,9444.44,0,1111.11,0,11111.11
87,Elevated,OG,High,833.33,6111.11,277.78,6944.44,555.56,14722.22
88,Elevated,OG,High,2777.78,13055.56,833.33,9722.22,4444.44,30833.33
89,Elevated,OG,High,1388.89,12500,555.56,6666.67,2777.78,23888.89
90,Elevated,OG,High,833.33,23611.11,0,1388.89,277.78,26111.11
91,Ambient,MS,High,23055.56,17777.78,28888.89,77777.78,1666.67,149166.67
92,Ambient,MS,High,26111.11,18888.89,13055.56,61666.67,555.56,120277.78
93,Ambient,MS,High,31944.44,17777.78,10000,68333.33,2500,130555.56
94,Ambient,MS,High,21666.67,19444.44,11944.44,52777.78,555.56,106388.89
95,Ambient,MS,High,27222.22,18333.33,21388.89,62222.22,1111.11,130277.78
96,Elevated,MS,High,14722.22,24722.22,2500,24722.22,3888.89,70555.56
97,Elevated,MS,High,14722.22,27777.78,277.78,13888.89,2500,59166.67
98,Elevated,MS,High,18611.11,19166.67,555.56,51388.89,2777.78,92500
99,Elevated,MS,High,20277.78,28888.89,2222.22,25833.33,5277.78,82500
100,Elevated,MS,High,22222.22,17500,6388.89,39444.44,555.56,86111.11
101,Ambient,EU,High,74166.67,33333.33,26388.89,185277.78,3055.56,322222.22
102,Ambient,EU,High,37500,25277.78,5555.56,142777.78,1111.11,212222.22
103,Ambient,EU,High,55833.33,36111.11,6388.89,175555.56,1666.67,275555.56
104,Ambient,EU,High,60277.78,23055.56,16666.67,187222.22,1666.67,288888.89
105,Ambient,EU,High,43333.33,26111.11,3888.89,166666.67,833.33,240833.33
106,Elevated,EU,High,16111.11,100833.33,277.78,3333.33,277.78,120833.33
107,Elevated,EU,High,44166.67,81944.44,277.78,11666.67,833.33,138888.89
108,Elevated,EU,High,50277.78,30555.56,555.56,79722.22,555.56,161666.67
109,Elevated,EU,High,7222.22,122222.22,0,3055.56,277.78,132777.78
110,Elevated,EU,High,31944.44,96111.11,555.56,23888.89,1944.44,154444.44
111,Ambient,HE,High,5555.56,1944.44,1388.89,176388.89,555.56,185833.33
112,Ambient,HE,High,390909.09,51111.11,4722.22,880000,1388.89,1328131.31
113,Ambient,HE,High,245000,35277.78,6944.44,578571.43,555.56,866349.21
114,Ambient,HE,High,472222.22,51666.67,7500,686666.67,3055.56,1221111.11
115,Ambient,HE,High,354166.67,34166.67,5000,884000,1111.11,1278444.44
116,Elevated,HE,High,10833.33,8888.89,0,2777.78,0,22500
117,Elevated,HE,High,362500,40555.56,3611.11,120555.56,1388.89,528611.11
118,Elevated,HE,High,577777.78,24722.22,277.78,67500,555.56,670833.33
119,Elevated,HE,High,150000,18055.56,277.78,30000,555.56,198888.89
120,Elevated,HE,High,185277.78,13611.11,555.56,35833.33,555.56,235833.33
