resampled_Sample_names,resampled_D0,resampled_D1,resampled_D2,resampled_sd.D0,resampled_sd.D1,resampled_sd.D2,Sample Replicate,Run Replicate,Sample,ID within run,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Density_SceA,Density_CoeM,Density_SelC,Density_MonM,Density_ChlS,Total_Density,x_label,bacterial_counts,bead_counts,dilution_factor
NR4_r1_s34_034.fcs,10498.3,1908.79327968344,1043.53499672256,136.888478534738,32.6481075752039,27.8735428286364,NR4,r1,34,034.fcs,Ambient,HE,Low,248888.89,118611.11,29166.67,850000,5277.78,1251944.44,HE-Ambient,4588,427,10
NR4_r1_s39_035.fcs,8494,1141.81479079152,705.086173432497,222.284602355729,17.8304233109074,8.02359926473929,NR4,r1,39,035.fcs,Elevated,HE,Low,7777.78,76944.44,555.56,21944.44,3333.33,110555.56,HE-Elevated,8874,375,10
NR4_r1_s4_028.fcs,14654.7,4103.36872560175,2501.51647868631,244.660785578727,53.0677541345356,37.0687868472967,NR4,r1,4,028.fcs,Ambient,OG,Low,7222.22,4722.22,5555.56,29166.67,4722.22,51388.89,OG-Ambient,6133,4479,10
NR4_r1_s44_036.fcs,12799.4,2432.45997540206,1518.65399167307,204.062735451625,33.6843733180417,18.5333239134301,NR4,r1,44,036.fcs,Ambient,OG,Medium,5833.33,14444.44,11666.67,25555.56,2500,60000,OG-Ambient,7319,4695,10
NR4_r1_s49_037.fcs,11542.2,1888.45587218775,1168.6401624961,186.351996680118,21.6197448295754,14.8729784481971,NR4,r1,49,037.fcs,Elevated,OG,Medium,2222.22,4444.44,1944.44,5277.78,1944.44,15833.33,OG-Elevated,9066,2650,10
NR4_r1_s54_038.fcs,11625.8,2481.73971480869,1499.95203076088,147.428174602641,32.559998856761,24.733103272259,NR4,r1,54,038.fcs,Ambient,MS,Medium,30833.33,21388.89,8888.89,76111.11,2222.22,139444.44,MS-Ambient,5961,2024,10
NR4_r1_s59_039.fcs,9998.6,1617.63613080187,918.561883915811,276.327583374033,24.8660277452558,15.3018123432976,NR4,r1,59,039.fcs,Elevated,MS,Medium,833.33,48333.33,555.56,2500,3055.56,55277.78,MS-Elevated,8419,1453,10
NR4_r1_s64_040.fcs,8193.3,1092.3140453566,675.701450839128,145.378471583656,9.71250303812966,8.20417682832035,NR4,r1,64,040.fcs,Ambient,EU,Medium,50555.56,42500,3055.56,189545.45,2500,288156.57,EU-Ambient,8694,276,10
NR4_r1_s69_041.fcs,7584.3,1020.2374993719,637.96320960679,202.151236014579,6.6367766397394,9.26288577170781,NR4,r1,69,041.fcs,Elevated,EU,Medium,53055.56,49166.67,1388.89,108333.33,2777.78,214722.22,EU-Elevated,8844,237,10
NR4_r1_s74_042.fcs,10530.9,2142.2590915725,1245.80650832902,234.250791531925,68.2001601119163,41.8700523589118,NR4,r1,74,042.fcs,Ambient,HE,Medium,278888.89,41111.11,6111.11,790000,1111.11,1117222.22,HE-Ambient,2277,842,10
NR4_r1_s79_043.fcs,11250.2,2208.91696094515,1088.70604888407,141.510737715867,43.4795606133735,18.5748408863158,NR4,r1,79,043.fcs,Elevated,HE,Medium,248333.33,37222.22,6111.11,71388.89,277.78,363333.33,HE-Elevated,4322,2264,10
NR4_r1_s84_044.fcs,11107.4,1814.11806796843,1146.79453071927,235.222447908358,18.092234639369,10.5020858011536,NR4,r1,84,044.fcs,Ambient,OG,High,3333.33,7222.22,1944.44,13611.11,1111.11,27222.22,OG-Ambient,8798,2844,10
NR4_r1_s89_045.fcs,13918.8,4243.86737988,3051.47837215492,211.900291017576,35.3379805604233,14.3731770315204,NR4,r1,89,045.fcs,Elevated,OG,High,1388.89,12500,555.56,6666.67,2777.78,23888.89,OG-Elevated,7476,6920,10
NR4_r1_s9_029.fcs,13633,3747.86651097588,2400.76415989435,128.37618332247,46.1354548350706,26.8273706041943,NR4,r1,9,029.fcs,Elevated,OG,Low,11666.67,11111.11,22500,25833.33,19444.44,90555.56,OG-Elevated,5748,2925,10
NR4_r1_s94_046.fcs,13021.1,3700.79436321873,2540.59113285987,323.724316870595,58.9609582113,39.3717738744981,NR4,r1,94,046.fcs,Ambient,MS,High,21666.67,19444.44,11944.44,52777.78,555.56,106388.89,MS-Ambient,5009,4149,10
NR4_r1_s99_047.fcs,12821.4,3098.13378323509,1893.92343774468,290.816551569313,45.3009691080185,30.7476568291548,NR4,r1,99,047.fcs,Elevated,MS,High,20277.78,28888.89,2222.22,25833.33,5277.78,82500,MS-Elevated,6644,2790,10
NR5_r1_s10_053.fcs,10833.7,1491.8352828114,882.321941443891,165.82859289707,17.9954913290426,7.91350264224411,NR5,r1,10,053.fcs,Elevated,OG,Low,1944.44,13888.89,3333.33,17222.22,13333.33,49722.22,OG-Elevated,8456,1294,10
NR5_r1_s100_071.fcs,6922.1,870.158429862098,561.080038707859,225.250699838597,14.0462920413139,8.25326671495741,NR5,r1,100,071.fcs,Elevated,MS,High,22222.22,17500,6388.89,39444.44,555.56,86111.11,MS-Elevated,9416,193,10
NR5_r1_s105_072.fcs,6475.4,977.002589642328,647.599492174932,147.523406805685,9.57235439859051,8.052945912398,NR5,r1,105,072.fcs,Ambient,EU,High,43333.33,26111.11,3888.89,166666.67,833.33,240833.33,EU-Ambient,9166,94,10
NR5_r1_s110_073.fcs,8396.1,1429.4450595311,872.283992595635,194.434479109716,16.3419386600672,6.56152181424559,NR5,r1,110,073.fcs,Elevated,EU,High,31944.44,96111.11,555.56,23888.89,1944.44,154444.44,EU-Elevated,9383,307,10
NR5_r1_s115_074.fcs,6608.2,1067.67985350707,708.630403638095,147.009296758176,17.0706808159315,10.0301086734282,NR5,r1,115,074.fcs,Ambient,HE,High,354166.67,34166.67,5000,884000,1111.11,1278444.44,HE-Ambient,8718,127,10
NR5_r1_s120_075.fcs,5678.4,916.97524510562,641.895773396226,207.212826715808,13.3274052484026,10.3711456351994,NR5,r1,120,075.fcs,Elevated,HE,High,185277.78,13611.11,555.56,35833.33,555.56,235833.33,HE-Elevated,9546,145,10
NR5_r1_s15_054.fcs,5846.3,921.054146599245,650.429847333503,160.985196006755,8.89260124191477,6.7225612203322,NR5,r1,15,054.fcs,Ambient,MS,Low,18888.89,35000,4166.67,108333.33,15833.33,182222.22,MS-Ambient,9217,138,10
NR5_r1_s20_055.fcs,7396.5,989.404212314933,676.694399441869,215.162083607271,11.5268653381923,8.89957896613474,NR5,r1,20,055.fcs,Elevated,MS,Low,22222.22,46944.44,2777.78,28055.56,8055.56,108055.56,MS-Elevated,9106,238,10
NR5_r1_s25_056.fcs,5444.7,1001.19145236145,715.644861300835,300.546187982997,11.4805964550673,10.9772616417026,NR5,r1,25,056.fcs,Ambient,EU,Low,2777.78,39444.44,7777.78,171944.44,4166.67,226111.11,EU-Ambient,9128,90,10
NR5_r1_s30_057.fcs,7382.2,1049.18721657749,740.201681697403,115.622758236526,11.2924779786245,8.89428143868131,NR5,r1,30,057.fcs,Elevated,EU,Low,76666.67,76388.89,4444.44,106388.89,4166.67,268055.56,EU-Elevated,9124,152,10
NR5_r1_s35_058.fcs,13079.7,3068.15076553261,1919.95360192195,275.80913287594,40.2330183657199,27.4304945481874,NR5,r1,35,058.fcs,Ambient,HE,Low,65833.33,28611.11,6111.11,626666.67,5000,732222.22,HE-Ambient,2412,639,10
NR5_r1_s40_059.fcs,10578.6,1335.47149710024,703.517480265102,169.410874634554,19.8057227407964,12.7602822284242,NR5,r1,40,059.fcs,Elevated,HE,Low,158611.11,53055.56,5833.33,376000,5277.78,598777.78,HE-Elevated,5990,412,10
NR5_r1_s45_060.fcs,15071,3698.91778658667,2367.07504187275,89.0143558958641,29.8873515425737,18.4274452578631,NR5,r1,45,060.fcs,Ambient,OG,Medium,2222.22,3888.89,555.56,12500,1388.89,20555.56,OG-Ambient,7069,5505,10
NR5_r1_s5_052.fcs,13303.7,2384.04984469364,1339.62567082798,185.16722172134,52.3803321884417,18.84554735216,NR5,r1,5,052.fcs,Ambient,OG,Low,6944.44,13888.89,4444.44,22777.78,23888.89,71944.44,OG-Ambient,7093,2819,10
NR5_r1_s50_061.fcs,10818.8,1496.08753327961,843.216967868573,238.263066564856,10.7945787817051,13.1117146037586,NR5,r1,50,061.fcs,Elevated,OG,Medium,1111.11,5833.33,1388.89,5277.78,2777.78,16388.89,OG-Elevated,8888,2001,10
NR5_r1_s55_062.fcs,13749.5,3194.75791789361,2011.15464658551,258.009582078737,47.1432249864091,32.1225605662184,NR5,r1,55,062.fcs,Ambient,MS,Medium,16111.11,20555.56,11111.11,77777.78,1388.89,126944.44,MS-Ambient,5822,2587,10
NR5_r1_s60_063.fcs,13478.1,4067.24864670404,2893.35666789337,182.243091623371,34.064187550423,25.7859734019485,NR5,r1,60,063.fcs,Elevated,MS,Medium,20277.78,25833.33,2777.78,38055.56,4722.22,91666.67,MS-Elevated,5948,3324,10
NR5_r1_s65_064.fcs,13153.5,2247.31892410997,1179.70424287847,276.322376139819,35.2195469285094,22.1582422928502,NR5,r1,65,064.fcs,Ambient,EU,Medium,61666.67,47222.22,4722.22,216315.79,5000,334926.9,EU-Ambient,4521,788,10
NR5_r1_s70_065.fcs,12226.1,2769.71882691378,1700.25663149409,154.936868863848,30.8933632247761,17.0633158124375,NR5,r1,70,065.fcs,Elevated,EU,Medium,43888.89,53055.56,1388.89,37777.78,833.33,136944.44,EU-Elevated,5965,1800,10
NR5_r1_s75_066.fcs,6718.8,1038.53949285423,696.468413996781,240.024443199715,4.63672584026358,5.75418905716274,NR5,r1,75,066.fcs,Ambient,HE,Medium,413000,64722.22,13888.89,1010000,1944.44,1503555.56,HE-Ambient,7954,196,10
NR5_r1_s80_067.fcs,7525.2,903.520610118204,579.73486298504,203.235932955874,9.98657305273367,4.41257306896405,NR5,r1,80,067.fcs,Elevated,HE,Medium,134166.67,67500,1388.89,121944.44,1944.44,326944.44,HE-Elevated,9132,358,10
NR5_r1_s85_068.fcs,13870.7,2716.51948446337,1653.40760188987,324.195088728308,26.9967194621981,16.9273675679353,NR5,r1,85,068.fcs,Ambient,OG,High,1666.67,5555.56,2500,10833.33,1388.89,21944.44,OG-Ambient,8038,5693,10
NR5_r1_s90_069.fcs,10407.8,1976.66476857887,1306.34817723796,233.525539883281,19.0914014061054,13.9178804376182,NR5,r1,90,069.fcs,Elevated,OG,High,833.33,23611.11,0,1388.89,277.78,26111.11,OG-Elevated,9350,3407,10
NR5_r1_s95_070.fcs,11003.8,2152.99479770691,1290.12865487881,283.116701497221,27.7480680508166,14.8542762186734,NR5,r1,95,070.fcs,Ambient,MS,High,27222.22,18333.33,21388.89,62222.22,1111.11,130277.78,MS-Ambient,7357,1565,10
